postcode,huisnummer,huisletter,toevoeging,adres,gemeente,omschrijving,bron_url
2514CM,178,,,"Denneweg 178, 2514CM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Denneweg 144 t/m 178,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-144-tm-176
2511ED,2,A,,"Korte Poten 2A, 2511ED 's-Gravenhage",'s-Gravenhage,definitieve inschrijving in het gemeentelijk monumentenregister van Korte Poten 1/ Korte Houtstraat 2a/2b,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-1-korte-houtstraat-2a2b
2511EE,40,,,"Korte Poten 40, 2511EE 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 40,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-40
2512ER,8,,,"Brouwersgracht 8, 2512ER 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Brouwersgracht 8,http://www.monumentenzorgdenhaag.nl/monumenten/brouwersgracht-8
2585SR,100,,,"Malakkastraat 100, 2585SR 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Malakkastraat 100,http://www.monumentenzorgdenhaag.nl/monumenten/malakkastraat-94-tm-100
2513AL,21,,,"Dagelijkse Groenmarkt 21, 2513AL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister van Venestraat 2/Dagelijkse Groenmarkt 21,http://www.monumentenzorgdenhaag.nl/monumenten/venestraat-2-dagelijkse-groenmarkt-21
2511AS,52,,,"Venestraat 52, 2511AS 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Venestraat 52,http://www.monumentenzorgdenhaag.nl/monumenten/venestraat-52
2514GM,98,,,"Noordeinde 98, 2514GM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Noordeinde 98,http://www.monumentenzorgdenhaag.nl/monumenten/noordeinde-98
2511BA,51,,,"Vlamingstraat 51, 2511BA 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 51,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-51
2511AM,31,,,"Kettingstraat 31, 2511AM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Kettingstraat 29,http://www.monumentenzorgdenhaag.nl/monumenten/kettingstraat-29-31
2511EE,36,A,,"Korte Poten 36A, 2511EE 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 36/36a,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-36-36a
